Liczba elementów, Pivot losowy,Pivot na końcu,Pivot na środku
10,0.0007,0.00035,0.0002
100,0.00715,0.01435,0.00205
1000,0.07445,1.2174,0.03115
10000,0.75485,118.155,0.4161
100000,9.14185,12185.1,5.0841
1000000,97.2199,segfault,55.8664
