Liczba elementów, Pivot losowy,Pivot na końcu,Pivot na środku
10,0.0006,0.00075,0.0006
100,0.01015,0.01015,0.00965
1000,0.1655,0.1252,0.12285
10000,1.66945,1.5609,1.52345
100000,19.6315,19.0417,18.4049
1000000,237.334,223.375,215.356
